date,user_id,power_consumption,low_temp,high_temp,kind,wind,level,holiday
2015/1/1,1,1135,8,-4,58,9,13,0
2015/1/2,1,570,13,0,25,2,13,2
2015/1/3,1,3418,16,3,14,5,13,2
2015/1/4,1,3968,15,4,62,3,2,1
2015/1/5,1,3986,10,2,54,8,7,2
2015/1/6,1,4082,7,-1,78,4,13,1
2015/1/7,1,4172,7,-2,58,8,13,0
2015/1/8,1,4022,12,-1,58,4,13,0
2015/1/9,1,4025,14,1,61,9,13,1
2015/1/10,1,4047,14,1,58,9,13,0
2015/1/11,1,4135,10,1,14,1,13,2
2015/1/12,1,4111,8,3,66,3,13,2
2015/1/13,1,3926,8,4,44,1,13,0
2015/1/14,1,4244,10,4,78,8,13,1
2015/1/15,1,4144,11,3,14,9,13,1
2015/1/16,1,4269,7,-1,25,8,2,1
2015/1/17,1,4262,9,-1,14,3,13,1
2015/1/18,1,2782,11,0,14,10,13,0
2015/1/19,1,3327,10,2,26,3,13,0
2015/1/20,1,4002,11,4,14,2,14,0
2015/1/21,1,3925,7,0,14,8,13,1
2015/1/22,1,3813,11,-2,58,1,13,0
2015/1/23,1,4293,15,2,26,2,13,1
2015/1/24,1,4205,11,7,80,3,2,2
2015/1/25,1,4162,10,6,66,8,14,0
2015/1/26,1,3917,6,2,66,1,6,0
2015/1/27,1,4007,3,0,55,1,8,2
2015/1/28,1,4060,2,-1,36,1,2,0
2015/1/29,1,4045,3,-1,57,8,13,0
2015/1/30,1,4162,4,-2,14,4,13,2
2015/1/31,1,4056,5,-1,83,1,13,0
2015/2/1,1,3685,7,1,66,3,13,0
2015/2/2,1,3904,7,2,78,3,13,0
2015/2/3,1,4100,7,2,78,8,2,2
2015/2/4,1,4048,7,-2,25,8,2,1
2015/2/5,1,3991,9,-2,61,9,13,0
2015/2/6,1,4058,12,-1,14,5,14,0
2015/2/7,1,3771,6,0,25,8,6,0
2015/2/8,1,3755,6,-4,58,1,13,1
2015/2/9,1,3742,15,0,58,9,2,2
2015/2/10,1,3880,15,0,58,9,2,0
2015/2/11,1,1838,15,0,58,9,2,0
2015/2/12,1,2994,15,0,58,9,2,0
2015/2/13,1,3579,19,3,61,2,13,0
2015/2/14,1,2771,15,10,85,2,13,1
2015/2/15,1,185,15,9,78,8,2,0
2015/2/16,1,97,14,3,25,9,13,0
2015/2/17,1,75,12,3,58,3,6,0
2015/2/18,1,63,11,1,14,1,13,0
2015/2/19,1,52,10,4,79,3,4,0
2015/2/20,1,48,11,8,53,10,2,1
2015/2/21,1,60,11,3,78,8,2,0
2015/2/22,1,75,10,4,53,3,13,2
2015/2/23,1,67,12,4,66,3,13,0
2015/2/24,1,103,10,6,45,2,2,0
2015/2/25,1,99,10,6,66,7,14,1
2015/2/26,1,378,6,3,79,3,13,0
2015/2/27,1,629,4,2,5,1,6,1
2015/2/28,1,672,9,1,78,8,2,0
2015/3/1,1,308,13,2,61,5,2,0
2015/3/2,1,548,12,6,51,2,3,0
2015/3/3,1,582,6,1,14,1,7,0
2015/3/4,1,520,5,1,83,3,13,0
2015/3/5,1,453,8,2,93,1,13,0
2015/3/6,1,606,12,3,14,2,13,1
2015/3/7,1,471,10,5,80,3,2,2
2015/3/8,1,132,9,4,78,4,15,0
2015/3/9,1,624,7,0,14,1,7,1
2015/3/10,1,718,11,-1,14,2,13,2
2015/3/11,1,538,16,2,58,5,13,0
2015/3/12,1,624,19,6,61,5,4,0
2015/3/13,1,559,15,7,24,1,2,0
2015/3/14,1,621,16,8,66,3,2,0
2015/3/15,1,334,17,10,78,3,13,0
2015/3/16,1,576,16,11,77,2,13,0
2015/3/17,1,522,14,12,35,3,2,0
2015/3/18,1,576,15,9,53,4,2,0
2015/3/19,1,606,14,9,46,7,2,0
2015/3/20,1,664,20,9,78,10,13,0
2015/3/21,1,609,19,8,14,9,13,0
2015/3/22,1,98,16,7,26,3,7,0
2015/3/23,1,691,15,6,14,3,13,1
2015/3/24,1,648,17,7,14,3,2,0
2015/3/25,1,599,15,6,26,3,2,1
2015/3/26,1,592,16,9,51,3,2,0
2015/3/27,1,646,20,7,25,2,4,0
2015/3/28,1,717,23,10,14,5,13,0
2015/3/29,1,315,20,14,82,3,2,0
2015/3/30,1,587,26,16,14,2,2,0
2015/3/31,1,542,23,17,26,3,2,0
2015/4/1,1,614,25,14,77,3,12,0
